ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,20-06-2018,RELIANCE,996,1022.9,994.85,1019.25,7193824
NSE,21-06-2018,RELIANCE,1023.45,1036,1021.3,1031.95,10509756
NSE,22-06-2018,RELIANCE,1028.4,1029.2,1008.45,1012.5,16169978
NSE,25-06-2018,RELIANCE,1011.4,1016.5,1002.3,1004.45,5197694
NSE,26-06-2018,RELIANCE,1006,1006,975.25,978.95,8068585
NSE,27-06-2018,RELIANCE,978.5,985.4,962.7,965.85,8958555
NSE,28-06-2018,RELIANCE,962,968.5,940.3,944.95,8581234
NSE,29-06-2018,RELIANCE,949.1,975.5,949,972.45,7966401
NSE,02-07-2018,RELIANCE,972.35,972.35,957,960.6,6660916
NSE,03-07-2018,RELIANCE,965,978.45,960.35,971.3,5067261
NSE,04-07-2018,RELIANCE,971.8,992,971,990.1,5000724
NSE,05-07-2018,RELIANCE,997,1008.4,958.6,964.5,18719353
NSE,06-07-2018,RELIANCE,964.75,983,964.5,977.55,9161266
NSE,09-07-2018,RELIANCE,987.1,1000,983.5,997.1,5170189
NSE,10-07-2018,RELIANCE,1002.75,1028.5,1000,1025.7,10444513
NSE,11-07-2018,RELIANCE,1025,1040.9,1017.85,1038.8,8665072
NSE,12-07-2018,RELIANCE,1044.35,1099,1042.6,1082.35,24109297
NSE,13-07-2018,RELIANCE,1080.5,1109,1080,1099.8,17967282
NSE,16-07-2018,RELIANCE,1099.8,1108.9,1073.05,1076.2,6595781
NSE,17-07-2018,RELIANCE,1078.3,1095.95,1069.6,1092.35,6469256
NSE,18-07-2018,RELIANCE,1098.4,1104.6,1077.3,1092.55,4682099
NSE,19-07-2018,RELIANCE,1093.3,1115,1086.35,1104.85,5433617
NSE,20-07-2018,RELIANCE,1113.4,1138.5,1111.9,1128.65,8018150
NSE,23-07-2018,RELIANCE,1129.8,1129.8,1113.1,1120.3,5842496
NSE,24-07-2018,RELIANCE,1122,1126.75,1107.4,1110.95,4469144
NSE,25-07-2018,RELIANCE,1110,1123,1104.2,1115.15,5949680
NSE,26-07-2018,RELIANCE,1110.1,1121.5,1107.8,1110.65,6424867
NSE,27-07-2018,RELIANCE,1119.5,1137.4,1112.15,1129.85,6679468
NSE,30-07-2018,RELIANCE,1130,1157.3,1128,1151.4,13872467
NSE,31-07-2018,RELIANCE,1151,1190.4,1147.15,1186,13875377
NSE,01-08-2018,RELIANCE,1190.4,1202.9,1185.4,1192.35,9704295
NSE,02-08-2018,RELIANCE,1191.5,1191.5,1165.95,1168.35,6248975
NSE,03-08-2018,RELIANCE,1175,1183.5,1169.55,1176.95,6645397
NSE,06-08-2018,RELIANCE,1176.7,1196,1175.35,1192.6,4016418
NSE,07-08-2018,RELIANCE,1194.9,1201.4,1177,1184.2,4059460
NSE,08-08-2018,RELIANCE,1185,1222.5,1185,1217.7,7912437
NSE,09-08-2018,RELIANCE,1221.5,1231.7,1212,1217.95,6846928
NSE,10-08-2018,RELIANCE,1211,1215,1202.3,1204.2,3581210
NSE,13-08-2018,RELIANCE,1197.55,1199.95,1182.7,1187.7,4668159
NSE,14-08-2018,RELIANCE,1190,1217.2,1184.3,1210.6,5299536
NSE,16-08-2018,RELIANCE,1203.25,1216,1195.5,1200.8,5982490
NSE,17-08-2018,RELIANCE,1209,1215.4,1200.05,1203.75,3830992
NSE,20-08-2018,RELIANCE,1207.9,1236.8,1207.65,1234.9,7607036
NSE,21-08-2018,RELIANCE,1237.25,1251.5,1227,1247.2,7279641
NSE,23-08-2018,RELIANCE,1246.3,1274,1238.4,1269.45,7968123
